release_id,company_id,issuer,issuer_group,role,origin,panel,published,month,category,category_group,ingredients,brand,tier,is_quasi_drug,is_renewal,is_edition,url
000000009.000042040,42040,株式会社セザンヌ化粧品,セザンヌ化粧品株式会社,brand_owner,JP,core,2019-09-09,2019-09,blush,makeup,,,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000009.000042040.html
000000024.000024471,24471,日本ロレアル株式会社　タカミ事業部,日本ロレアル株式会社,brand_owner,global,core,2019-09-13,2019-09,,none,,タカミ,ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000024.000024471.html
000000004.000044623,44623,ELCジャパン合同会社　M・A・C事業部,ELCジャパン合同会社,brand_owner,global,core,2019-09-17,2019-09,lipstick,makeup,,M·A·C,デパコス,0,0,0,https://prtimes.jp/main/html/rd/p/000000004.000044623.html
000000080.000036737,36737,株式会社ポーラ,株式会社ポーラ,brand_owner,JP,core,2019-09-20,2019-09,lipstick,makeup,,,デパコス,0,0,0,https://prtimes.jp/main/html/rd/p/000000080.000036737.html
000000059.000019685,19685,株式会社 井田ラボラトリーズ,株式会社井田ラボラトリーズ,brand_owner,JP,core,2019-09-24,2019-09,eye_makeup|lipstick|blush,makeup,,CANMAKE,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000059.000019685.html
000000005.000044623,44623,ELCジャパン合同会社　M・A・C事業部,ELCジャパン合同会社,brand_owner,global,core,2019-09-26,2019-09,eye_makeup,makeup,,M·A·C,デパコス,0,0,0,https://prtimes.jp/main/html/rd/p/000000005.000044623.html
000000006.000046376,46376,株式会社コーセー（戦略ブランド事業部）,株式会社コーセー,brand_owner,JP,core,2019-10-03,2019-10,eye_makeup,makeup,,ADDICTION,デパコス,0,0,0,https://prtimes.jp/main/html/rd/p/000000006.000046376.html
000000010.000042040,42040,株式会社セザンヌ化粧品,セザンヌ化粧品株式会社,brand_owner,JP,core,2019-10-03,2019-10,foundation|lash_brow,makeup,,CEZANNE,プチプラ,0,1,0,https://prtimes.jp/main/html/rd/p/000000010.000042040.html
000000061.000019685,19685,株式会社 井田ラボラトリーズ,株式会社井田ラボラトリーズ,brand_owner,JP,core,2019-10-03,2019-10,foundation,makeup,,CANMAKE,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000061.000019685.html
000000007.000046376,46376,株式会社コーセー（戦略ブランド事業部）,株式会社コーセー,brand_owner,JP,core,2019-10-17,2019-10,foundation,makeup,,ADDICTION,デパコス,0,0,0,https://prtimes.jp/main/html/rd/p/000000007.000046376.html
