week_start,term,interest
2025-08-01,レチナール,20
2025-08-01,レチノール,68
2025-09-01,アゼライン酸,91
2025-09-01,エクソソーム,37
2025-09-01,グルタチオン,88
2025-09-01,セラミド,45
2025-09-01,トラネキサム酸,69
2025-09-01,ナイアシンアミド,91
2025-09-01,ヒアルロン酸,87
2025-09-01,ビタミンC 美容,71
2025-09-01,レチナール,20
2025-09-01,レチノール,77
2025-10-01,アゼライン酸,68
2025-10-01,エクソソーム,34
2025-10-01,グルタチオン,74
2025-10-01,セラミド,52
2025-10-01,トラネキサム酸,73
2025-10-01,ナイアシンアミド,77
2025-10-01,ヒアルロン酸,87
2025-10-01,ビタミンC 美容,51
2025-10-01,レチナール,28
2025-10-01,レチノール,60
2025-11-01,アゼライン酸,72
2025-11-01,エクソソーム,35
2025-11-01,グルタチオン,79
2025-11-01,セラミド,76
2025-11-01,トラネキサム酸,90
2025-11-01,ナイアシンアミド,93
2025-11-01,ヒアルロン酸,95
2025-11-01,ビタミンC 美容,61
2025-11-01,レチナール,22
2025-11-01,レチノール,76
2025-12-01,アゼライン酸,73
2025-12-01,エクソソーム,32
2025-12-01,グルタチオン,69
2025-12-01,セラミド,66
2025-12-01,トラネキサム酸,84
2025-12-01,ナイアシンアミド,85
2025-12-01,ヒアルロン酸,96
2025-12-01,ビタミンC 美容,61
2025-12-01,レチナール,27
2025-12-01,レチノール,78
