rakuten_product_id,tier_override
ikum-shop:10000195,skincare
ikum-shop:10000196,skincare
importjack:10001353,skincare
inksc:10000356,skincare
inksc:10000388,skincare
inksc:10000398,skincare
innisfree-official:10001364,skincare
innisfree-official:10001411,skincare
innisfree-official:10001509,skincare
inter-c:10001489,skincare
inter-c:10001695,skincare
irie:10005111,skincare
isis:10000913,skincare
isis:10002024,skincare
isis:10003657,skincare
itemjapan:10001212,skincare
ito-ito:10000023,skincare
ito-ito:10000121,skincare
japannail:10000671,skincare
japannail:10000764,skincare
japannail:10001496,skincare
japoneira:10000001,skincare
jgplaza:10000023,skincare
jgplaza:10000219,skincare
jhb:10000516,skincare
jpslabo:10000052,skincare
jrs7777:10000008,skincare
jrs7777:10000054,skincare
jrs7777:10000056,skincare
jrs7777:10000074,skincare
justrich:10001157,skincare
k-spa-cosmetics:10000078,skincare
k7craft:10000828,skincare
kaitekispace:10000110,skincare
kaizenbiyoshop:10000059,skincare
kaketoko:10000218,skincare
kamien:10001051,skincare
kamifu-sen:10000000,skincare
kaminidoramawo:10000002,skincare
kaminidoramawo:10000004,skincare
kaminii-hair:10000000,skincare
kaminii-hair:10000001,skincare
kaminii-hair:10000003,skincare
kaminii-hair:10000018,skincare
kaminomoto:10000004,skincare
kamiya:10004239,skincare
kamiya:10005633,skincare
kawasakigroup:10002566,skincare
kenbira:10000001,skincare
kenko-sakas:10000003,skincare
kenkoex:10050621,skincare
kenmori:10000055,skincare
kerastase-varie:10000004,skincare
kerastase-varie:10000005,skincare
kerastase-varie:10000202,skincare
kiehls:10000016,skincare
kiehls:10000018,skincare
kiehls:10000021,skincare
kiehls:10000038,skincare
kiehls:10000083,skincare
kiehls:10000096,skincare
kiehls:10000152,skincare
kins:10000027,skincare
kins:10000056,skincare
kinsui:10000487,skincare
kinsui:10000488,skincare
kirarithm:10000162,skincare
kirei-mitsuketa:10000483,skincare
kireidelab:10000449,skincare
kireims:10000008,skincare
kireims:10000232,skincare
kireispot:10001514,skincare
kireispot:10001516,skincare
kireispot:10065378,skincare
kiso:10000019,skincare
kiso:10000026,skincare
kiso:10000054,skincare
kiso:10000088,skincare
kiso:10000091,skincare
kiso:10000092,skincare
kiso:10000093,skincare
kiso:10000098,skincare
kiso:10000099,skincare
kiso:10000109,skincare
kiso:10000110,skincare
kiso:10000135,skincare
kiso:10000147,skincare
kiso:10000153,skincare
kiso:10000202,skincare
kiso:10000207,skincare
kiso:10000208,skincare
kiso:10000231,skincare
kiso:10000253,skincare
kiso:10000266,skincare
kkscosme:10000031,skincare
kobe-beauty-labo:10000259,skincare
kobe-beauty-labo:10000263,skincare
kobe-beauty-labo:10000446,skincare
kobe-beauty-labo:10001924,skincare
kobe-beauty-labo:10002193,skincare
kobe-beauty-labo:10002194,skincare
kobe-beauty-labo:10002195,skincare
kobe-beauty-labo:10002224,skincare
kobe-beauty-labo:10002365,skincare
kobe-beauty-labo:10002415,skincare
kobe-beauty-labo:10002511,skincare
kohgendo:10000040,skincare
kokage-shop:10000184,skincare
koloha:10000012,skincare
koloha:10000053,skincare
koma:10001078,skincare
kumokumo-square:10063869,skincare
kyunan:10012836,skincare
kyunan:10019583,skincare
la-primavera:10000198,skincare
la-primavera:10000378,skincare
lagom-store:10000038,skincare
lancome:10000010,skincare
lancome:10000015,skincare
lancome:10000136,skincare
lancome:10000143,skincare
lancome:10000253,skincare
laneige-r:10000015,skincare
laneige-r:10000019,skincare
laneige-r:10000101,skincare
laneige-r:10000128,skincare
larocheposay:10000013,skincare
larocheposay:10000014,skincare
larocheposay:10000016,skincare
larocheposay:10000039,skincare
larocheposay:10000063,skincare
larocheposay:10000116,skincare
lavie-beauty:10000007,skincare
lccosme:10000000,skincare
leep:10000906,skincare
leep:10000908,skincare
leep:10001067,skincare
leglock:10000176,skincare
lekarka:10000131,skincare
lesthemo:10000001,skincare
lesthemo:10000002,skincare
lesthemo:10000004,skincare
lesthemo:10000006,skincare
lesthemo:10000018,skincare
lesthemo:10000033,skincare
lesthemo:10000061,skincare
lesthemo:10000258,skincare
lesthemo:10000866,skincare
libertacreate:10000362,skincare
lifedesignstore:10000120,skincare
loccitane:10000686,skincare
loco:10000442,skincare
loook:10004451,skincare
lorelife:10000011,skincare
lucia:10000005,skincare
ludia:10000057,skincare
luire:10004495,skincare
luire:10004549,skincare
luire:10004629,skincare
luire:10004972,skincare
luire:10004982,skincare
luire:10005032,skincare
luire:10005042,skincare
luire:10005100,skincare
luire:10005128,skincare
luire:10005327,skincare
luire:10005375,skincare
luire:10005399,skincare
luire:10005422,skincare
luire:10005457,skincare
luire:10005665,skincare
luire:10005713,skincare
luire:10005782,skincare
luire:10005954,skincare
luire:10005957,skincare
luire:10005997,skincare
luire:10006143,skincare
luire:10006162,skincare
luire:10006172,skincare
luire:10006188,skincare
luire:10006219,skincare
lujo:10000020,skincare
